,Name,Year,release_speed,release_spin_rate,release_extension,release_pos_x,release_pos_y,release_pos_z,spin_axis
20,Tyler Alexander,22,86.1316009557945,2134.806060606061,6.274303030303031,1.9401254480286738,54.22554958183991,5.745047789725208,166.93333333333334
21,A.J. Alexy,22,89.42085561497326,2198.51871657754,6.522994652406417,-1.0836363636363635,53.97839572192513,6.006737967914439,160.01069518716577
22,Michael Alfonso,22,,,,,,,
23,Peyton Alford,22,,,,,,,
24,Kolby Allard,22,87.29567901234567,2019.2932098765432,6.044753086419753,1.8182716049382717,54.45506172839506,5.457685185185185,163.4783950617284
25,Cam Alldred,22,83.21875,2174.3125,6.275,3.408125,54.224375,5.221875,192.375
26,Logan Allen,22,85.63811659192825,2116.7578475336322,5.876681614349776,2.020089686098655,54.622466367713,6.062914798206278,208.39910313901345
27,Nick Allgeyer,22,84.93644859813085,2149.2,6.004444444444444,3.085140186915888,54.28373831775701,5.139158878504673,121.13333333333334
28,Diogenes Almengo,22,,,,,,,
29,Yency Almonte,22,89.74510556621881,2280.769230769231,6.648368522072937,-1.6934740882917465,53.85239923224568,5.66911708253359,156.74423076923077
30,Garvin Alston,22,,,,,,,
31,José Alvarado,22,97.00244343891403,2149.3864253393667,6.7638009049773755,1.173393665158371,53.73574660633484,6.527276018099548,158.82805429864254
32,Jose Alvarez,22,86.5003663003663,1916.8208955223881,6.45970695970696,2.050989010989011,54.041062271062266,5.728424908424908,139.02238805970148
33,Manuel Alvarez,22,,,,,,,
34,R.J. Alvarez,22,88.3921568627451,2263.4901960784314,6.007843137254902,-2.078235294117647,54.49568627450981,5.5588235294117645,181.90196078431373
35,Adbert Alzolay,22,90.54766839378239,2413.8238341968913,6.427979274611398,-1.458238341968912,54.075129533678755,6.1894300518134715,179.41450777202073
36,Aidan Anderson,22,88.95,2097.625,6.1625,-1.9425,54.34875,5.545,189.125
37,Chase Anderson,22,87.08497409326425,2235.4214162348876,5.9143350604490506,-1.2806908462867013,54.58749568221071,5.979896373056995,182.93264248704662
38,Grant Anderson,22,,,,,,,
39,Ian Anderson,22,89.76229426433915,1785.949924887331,6.9037537537537546,-1.5763241895261846,53.59734663341646,6.241820448877806,177.59689534301452
40,Justin Anderson,22,91.91739130434782,2185.217391304348,6.782608695652174,-2.347391304347826,53.71739130434783,5.64695652173913,161.7391304347826
41,Shaun Anderson,22,87.63870967741936,2419.939393939394,6.525757575757575,-2.0745161290322582,54.02161290322581,6.053870967741935,147.75757575757575
42,Tyler Anderson,22,85.65311463324733,2154.067821599705,6.100589970501475,1.9203022484334684,54.39928492443789,6.011725027644673,146.79764098783633
43,Mark Appel,22,92.16107382550335,1851.1812080536913,7.061744966442953,-1.237248322147651,53.4386577181208,5.99489932885906,182.7785234899329
44,Jose Aquino,22,,,,,,,
45,Víctor Arano,22,89.70717360114777,2319.0475504322767,6.209626436781608,-1.996025824964132,54.29048780487805,5.911520803443328,194.76801152737752
46,Chris Archer,22,89.68824169842134,2249.2080610021785,6.173598258029395,-1.3608437670114317,54.32718018508437,6.259188894937397,176.92755991285404
47,Orlando Arcia,22,56.279999999999994,1461.2,4.720000000000001,-1.295,55.775999999999996,6.4959999999999996,208.0
48,Kohei Arihara,22,85.55359628770302,1884.399071925754,6.7051044083526685,-2.695011600928074,53.79494199535963,5.725638051044084,207.20417633410673
49,Ivan Armstrong,22,91.28181818181818,2092.0,6.636363636363637,-2.924545454545455,53.85454545454545,5.5249999999999995,226.77272727272728
50,Shawn Armstrong,22,93.83846153846154,2310.7465309898244,6.603870967741935,-1.9995512820512817,53.89843406593406,5.888003663003663,192.1776133209991
51,Jonathan Aro,22,,,,,,,
52,Aaron Ashby,22,88.72050053248137,2225.374200426439,5.52228144989339,0.6747231096911609,54.976480298189564,6.3116027689030885,219.14872068230278
