,key_mlbam,name_first,name_last,at_bats,babip_P,hold_P,swing_P,Correct_P,Precision_P,ops_P,Decision,Decision_P,Total_Score
57,686668,Brenton,Doyle,73,153.68930024768633,93.74222734713233,107.63276765561275,104.77741005744275,99.8831898185132,103.54363273421339,406.035594878701,100.76186916681758,229.37833565776742
58,605170,Víctor,Caratini,31,108.57405404594618,102.55906386518694,116.42815548872866,104.18269823565127,100.16620670335206,139.9122640664784,423.33612429291895,105.0551717820055,229.2983308382178
59,807799,Masataka,Yoshida,69,108.39921659981744,114.5110532415746,91.24742581693079,98.4618060992611,116.64315946494224,139.1421048147363,420.86344462270876,104.4415511325755,228.2122118398524
60,592192,Mark,Canha,79,104.1455764547613,118.76674817937389,77.79517662201415,94.7423750304482,124.54612234927936,145.5600985792537,415.8504221811156,103.19751854587327,228.05035606288075
61,663697,Jonathan,India,73,102.45953349845756,130.69699456156812,88.33060929419445,101.10828970524881,117.80935306089862,135.79358632890117,437.94524662191,108.6805743115438,227.80713422522314
62,676914,Davis,Schneider,47,111.39749280364215,117.02518055800147,101.23791957730862,107.35524107411605,101.003351599492,131.31215242202515,426.62169280891817,105.87051907944287,227.22534169227652
63,521692,Salvador,Pérez,97,123.3739537383489,76.73782331672228,102.60231202444214,87.58931468898761,90.27609908478733,153.7193219564053,357.2055491149394,88.644195877293,227.19083372467009
64,457759,Justin,Turner,76,118.09809387453791,101.44789910964742,91.1806134835762,96.79812072009291,107.831830759023,139.07792487709114,397.2584640723395,98.58373474430508,227.1717441201196
65,681624,Andy,Pages,44,110.49329237504118,87.02575127786527,137.90347075418018,108.09111620511736,88.99243813557409,134.2644295537031,422.01277637273694,104.7267695146245,227.10563047899663
66,646240,Rafael,Devers,58,116.06191984221832,99.6452032474072,89.94627676799333,93.23504478283995,114.58723202655277,140.65797381816517,397.41375682479327,98.62227222279874,226.9822190529905
67,663993,Nathaniel,Lowe,27,138.5101100997667,110.46910130507281,81.00874674065159,90.32247230629635,110.36463784529857,120.65828277292631,392.1649581973194,97.31972937371062,226.9039258100571
68,664983,Jake,McCarthy,53,134.06733298335908,94.13925325119077,100.60120310197962,99.20576193642083,115.67541741078664,115.92923473591354,409.62163570037785,101.65178172782991,226.6500655874662
